,new_utt,intent,original_utt
39,I need keyword> tickets for the date>. I need keyword> tickets for date>. I find the venue keyword> keyword>.,book_tour,I need <keyword> tickets for <date>
40,I need tickets for an keyword>-event/date>-. I need keyword> tickets for date>. I need keyword> keyword>. I don’t have any ideas or ideas about what to do. I need to supply keyword> / keyword> / keyword> / keyword> / keyword> when keyword> tickets are needed. I use keyword,book_tour,I need <keyword> tickets for <date>
41,I need keyword> tickets for date>. I need keyword> tickets for keyword>. The room is not available anymore.,book_tour,I need <keyword> tickets for <date>
42,I need ticket> for date>. I need keyword> tickets for this date>.,book_tour,I need <keyword> tickets for <date>
43,I am interested in booking the keyword> one person. I want the booking to be successful. I like searching for my keyword. It should be interesting.,book_tour,I am interested in booking the <keyword>
44,"I am interested in booking the keyword in the search engine. In your opinion, use the keyword keyword>>>. Thanks..",book_tour,I am interested in booking the <keyword>
45,I'm interested in booking the keyword> or keyword>. I am a booking officer from Canada.,book_tour,I am interested in booking the <keyword>
46,I am interested in booking the (keyword) keyword>. I am interested in using this keyword>. I wold get the keyword but I don't know a word that makes it valid.,book_tour,I am interested in booking the <keyword>
47,"I would like to book a date for a keyword> for phrase>. I would like to get a book, I would like to book for phrase>.",book_tour,I would like to book <keyword> for <date>
48,I would like to book keyword> for date>. If I've been to airport in Canada /..I just used the keyword keyword>. I will be back in the US in very little time. I shall post another keyword>. What should I do?,book_tour,I would like to book <keyword> for <date>
49,If I I found a keyword that I would like to find in a date> room. I would like to book it. I would like to be book keyword> for date> date.,book_tour,I would like to book <keyword> for <date>
50,I would like to book keyword> for date>. I would like to book keyword> by month of September.,book_tour,I would like to book <keyword> for <date>
51,When will the next time for keywords be available?,book_tour,When is next available time slot for <keyword>?
52,When will the next time slot for keyword> be available?,book_tour,When is next available time slot for <keyword>?
53,What are available time slots at the moment to do keyword>?,book_tour,When is next available time slot for <keyword>?
54,When is keyword> to be released?,book_tour,When is next available time slot for <keyword>?
55,I want a tour on keyword>. I want to. I want a tour onkeyword>. I want a tour on. I want a tour on. I want a tour on keyword>.,book_tour,I want a tour on <keyword>
56,I want a tour on keyword>. I want a tour on [keyword].,book_tour,I want a tour on <keyword>
57,I want a tour on I want a tour on keyword>. I want a tour on keyword>. What are you going to write about?,book_tour,I want a tour on <keyword>
58,I want a tour on keyword>. I want a tour on keyword>.,book_tour,I want a tour on <keyword>
59,Top rated keyword> tour for keyword>?,book_tour,Top rated tour for <keyword>
60,Top rated tours in keyword>?,book_tour,Top rated tour for <keyword>
61,"Top rated tour for keyword ""top rated tour"". Also popular.",book_tour,Top rated tour for <keyword>
62,What are the best rated tour (TOUR) for ‘Keyword’?,book_tour,Top rated tour for <keyword>
63,"Top recommended tour for ""keyword""?",book_tour,Top recommended tour for <keyword>
64,Top recommended tour for the keyword> keyword>.,book_tour,Top recommended tour for <keyword>
65,Top recommend tour for keyword>.,book_tour,Top recommended tour for <keyword>
66,Top recommend tour for keyword>..,book_tour,Top recommended tour for <keyword>
67,Tell me more about the ‘location’.,"describe_location, recommend_poi",Tell me more about <location>.
68,How do I know more about your village?,"describe_location, recommend_poi",Tell me more about <location>.
69,Tell me more about location>.,"describe_location, recommend_poi",Tell me more about <location>.
70,What is Location?,"describe_location, recommend_poi",Tell me more about <location>.
71,Tell me a funny fact about location>.,"describe_location, recommend_poi",Tell me funny facts about <location>.
72,Tell me some funny facts about location?,"describe_location, recommend_poi",Tell me funny facts about <location>.
73,Tell me some interesting facts about locations>.,"describe_location, recommend_poi",Tell me funny facts about <location>.
74,Tell me what is the funny story about location?,"describe_location, recommend_poi",Tell me funny facts about <location>.
75,Show me the top attractions in your area. No borders.,"describe_location, recommend_poi",Show me top attractions <location>.
76,Show me the best attractions in your area if you can.,"describe_location, recommend_poi",Show me top attractions <location>.
77,Show me location> best attractions.,"describe_location, recommend_poi",Show me top attractions <location>.
78,Show me the best attractions in the whole world.,"describe_location, recommend_poi",Show me top attractions <location>.
79,What are some things to consider in this area?,"describe_location, recommend_poi",What are things to consider in this area?
80,What should we all think about in this field?,"describe_location, recommend_poi",What are things to consider in this area?
81,What are the things to consider in this area?,"describe_location, recommend_poi",What are things to consider in this area?
82,Do the sea levels have any dangerous effects?,"describe_location, recommend_poi",Is this area safe?
83,Is my town safe now?,"describe_location, recommend_poi",Is this area safe?
84,How safe is this area?,"describe_location, recommend_poi",Is this area safe?
85,Is the area safe for bsc?,"describe_location, recommend_poi",Is this area safe?
86,What are the best things to do in location>?,"describe_location, recommend_poi",What are the top things to do in <location>?
87,What are the best things to do in London?,"describe_location, recommend_poi",What are the top things to do in <location>?
88,What are best things to do at a location?,"describe_location, recommend_poi",What are the top things to do in <location>?
89,What are some good things to do in location>?,"describe_location, recommend_poi",What are the top things to do in <location>?
90,How far is location> from location>?,generic_request,How far is <location> away from <location>?
91,How far is from location>?,generic_request,How far is <location> away from <location>?
92,How far away is location from location?,generic_request,How far is <location> away from <location>?
93,How far away is location> from location?,generic_request,How far is <location> away from <location>?
94,What's the fastest way to get to the nearest location?,generic_request,What is the fastest way to get to <location>?
95,What is the best way to get to a 'location'?,generic_request,What is the fastest way to get to <location>?
96,What is the fastest way to find the exact location?,generic_request,What is the fastest way to get to <location>?
97,What is the fastest way to get to a location fast?,generic_request,What is the fastest way to get to <location>?
98,Which are the top 40 toll roads in the United States?,generic_request,Are there any toll roads on the way to <location>?
99,Are there any toll road on way to location>?,generic_request,Are there any toll roads on the way to <location>?
100,Are there any Toll Roads to get from the city centre?,generic_request,Are there any toll roads on the way to <location>?
101,Any toll roads on a way to location>?,generic_request,Are there any toll roads on the way to <location>?
102,What are toll bridges?,generic_request,Are there any toll bridges on the way to <location>?
103,Are there toll bridges around our location?,generic_request,Are there any toll bridges on the way to <location>?
104,Are there any toll bridges to location>?,generic_request,Are there any toll bridges on the way to <location>?
105,Are there any toll bridges on the way to location>?,generic_request,Are there any toll bridges on the way to <location>?
106,Is there parking near location?,generic_request,Is there parking near <location>?
107,What are the best parking spots near location>?,generic_request,Is there parking near <location>?
108,Is there parking near location>?,generic_request,Is there parking near <location>?
109,Is it good to be here?,needs_assistance,Hello? Are you here?
110,How is hello everyone?,needs_assistance,Hello? Are you here?
111,Hi there are you here?,needs_assistance,Hello? Are you here?
112,"Hi, are you here?",needs_assistance,Hello? Are you here?
113,Why are you not responding?,needs_assistance,Why aren't you responding?
114,Why are you always not responding?,needs_assistance,Why aren't you responding?
115,Why don't you respond to me?,needs_assistance,Why aren't you responding?
116,Hey guys!,needs_assistance,Hey!
117,Hey! How did you get here?,needs_assistance,Hey!
118,Is it possible to talk to anyone?,needs_assistance,Can I talk to someone?
119,When can I talk to someone?,needs_assistance,Can I talk to someone?
120,How can I talk to someone?,needs_assistance,Can I talk to someone?
121,"I need some assistance after completing a job application. Hi, I need some assistance.",needs_assistance,I need some assistance
122,Why are people still paying for our services?,needs_assistance,I need some assistance
123,I have technical assistance Need. Should I ask?,needs_assistance,I need some assistance
124,"I need some assistance, I need some assistance. I am a graphic designer. I need some help in my questions. Please help.",needs_assistance,I need some assistance
125,I would like to talk to a person. What should I ask?,needs_assistance,I would like to talk to a person.
126,Can you speak with someone?,needs_assistance,I would like to talk to a person.
127,I would like to talk to someone. What can I do?,needs_assistance,I would like to talk to a person.
128,I would like to chat with a person for an hour.,needs_assistance,I would like to talk to a person.
129,How do I get contact number?,needs_assistance,What is the contact info?
130,What is the contact information of a doctor?,needs_assistance,What is the contact info?
131,Which phone number is best to give a girl contact info?,needs_assistance,What is the contact info?
132,Which is the best phone number for an Indian?,needs_assistance,What is the contact info?
133,What can I do in location time?,recommend_activity,What can I do in <location> <time>?
134,What can you do in location> time?,recommend_activity,What can I do in <location> <time>?
135,What can I do in a location?,recommend_activity,What can I do in <location> <time>?
136,What can I do in time?,recommend_activity,What can I do in <location> <time>?
137,What can I do if I can't find time?,recommend_activity,What should I do <time>?
138,What should I do with time?,recommend_activity,What should I do <time>?
139,Why do I need time?,recommend_activity,What should I do <time>?
140,What should I do at the same time?,recommend_activity,What should I do <time>?
141,Can you recommend me something you like and you can do it yourself?,recommend_activity,Recommend me something <time>?
142,What would be a good time to recommend me something?,recommend_activity,Recommend me something <time>?
143,A time>. Recommend Me Something?,recommend_activity,Recommend me something <time>?
144,What should be recommended to me as time?,recommend_activity,Recommend me something <time>?
145,What are the best keys in the City?,recommend_activity,What are the best <keyword> in town?
146,What are the best keyword> in town?,recommend_activity,What are the best <keyword> in town?
147,What key words are all over town?,recommend_activity,What are the best <keyword> in town?
148,What is the best “keyword” in town?,recommend_activity,What are the best <keyword> in town?
149,How do I arrange a private tour of our country/country/country assorted persons/entries and we are looking for a tour by this name/country/company/character?,recommend_activity,We are looking for a tour <number_of_people> <location> <time>.
150,We are looking for a tour number_of_people> location> time>.,recommend_activity,We are looking for a tour <number_of_people> <location> <time>.
151,What would you like to tour on a free tour to your hometown?,recommend_activity,We are looking for a tour <number_of_people> <location> <time>.
152,"Would you like to tour, please send video if possible?",recommend_activity,We are looking for a tour <number_of_people> <location> <time>.
153,I want to read book by keyword>.,recommend_activity,I want to book <keyword>
154,I want to book keyword>.,recommend_activity,I want to book <keyword>
155,I want to read keyword>. I want more books.,recommend_activity,I want to book <keyword>
156,"I want to book keyword> I want to read. I feel so lonely. I want to.. I want to be.. I want to be,..",recommend_activity,I want to book <keyword>
157,I want to book restaurant>. I want to help to book.,recommend_activity,I want to book <restaurant>
158,How to book a restaurant?,recommend_activity,I want to book <restaurant>
159,I want to book restaurant> for the first time. What restaurant should I book?,recommend_activity,I want to book <restaurant>
160,If I want to go to a restaurant I can book. Where can I go?,recommend_activity,I want to book <restaurant>
161,I need the keyword> in location> with budget around budget> for time>. I'm looking for the good keyword> in location>.,recommend_activity,I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.
162,I’m looking for good keyword> in location> with budget around budget> for time>.,recommend_activity,I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.
163,I’m looking for the good keyword> in location> with budget around budget> for time>.,recommend_activity,I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.
164,I’m looking for a good keyword> in location> with budget around budget> for time> for my client.,recommend_activity,I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.
165,Will look up the keyword> that's available on an date> in an location>?,recommend_activity,Find me some <keyword> that's available  on <date> in <location>
166,"Find me some keyword that's available on date> in location>. I firmly believe that if someone has a keyword> that they have, I are willing to accept for the keyword>.",recommend_activity,Find me some <keyword> that's available  on <date> in <location>
167,Find me some keyword> that's available on date> in location>.,recommend_activity,Find me some <keyword> that's available  on <date> in <location>
168,What my friends are saying on date in location? Find me some keyword> that's available on date> in location>.,recommend_activity,Find me some <keyword> that's available  on <date> in <location>
169,"Find me some keyword> that's under budget> and available on date> in location>. Find me some keyword> that's under sg> with a valid keyword>, find me some keyword> that's under sg> and available on date> in location>.",recommend_activity,Find me some <keyword> that's under <budget> and available  on <date> in <location>
170,Find me some keyword> that's under budget> and available on date> in location>.,recommend_activity,Find me some <keyword> that's under <budget> and available  on <date> in <location>
171,Show me some keyword> that's under budget> and available on date> in location>. That's a keyword> that's under event> in location>. Is keyword> a keyword>?,recommend_activity,Show me some <keyword> that's under <budget> and available  on <date> in <location>
172,Show me some keyword> that's under budget> and available on date> in location>!,recommend_activity,Show me some <keyword> that's under <budget> and available  on <date> in <location>
173,Show me some basic keyword> that's Subject> and available in date> or location>.,recommend_activity,Show me some <keyword> that's under <budget> and available  on <date> in <location>
174,Show me some keyword> that's under budget> and available on date> in location>. That's under keyword> and available on the date> and shows me some keyword> that's under keyword> in the day>.,recommend_activity,Show me some <keyword> that's under <budget> and available  on <date> in <location>
175,"What are things we should do under the ""budget""?",recommend_activity,What are things to do under <budget>?
176,What are the things to do to fulfil budget?,recommend_activity,What are things to do under <budget>?
177,What should you do under budget>?,recommend_activity,What are things to do under <budget>?
178,What is a budget? What are the things you have to do with it?,recommend_activity,What are things to do under <budget>?
179,What is the least expensive thing to do with car and what are the keys?,recommend_activity,recommended <keyword> to do by car
180,What is your keyword> that you need to do by car?,recommend_activity,recommended <keyword> to do by car
181,What are the best things to do by car?,recommend_activity,recommended <keyword> to do by car
182,What are the best places to drive by car?,recommend_activity,recommended <keyword> to do by car
183,Fun activities for kids.,recommend_activity,Fun activities for kids
184,What are some fun activities for kids?,recommend_activity,Fun activities for kids
185,Fun activities for kids to do.,recommend_activity,Fun activities for kids
186,What are fun games for kids to play together?,recommend_activity,Fun activities for kids
187,I'm going to location> time>. I like keyword>. My budget is budget> What should I do?,recommend_activity,I'm going to <location> <time>. I like <keyword>. My budget is <budget>. What should I do?
188,I'm going to location> time>. I like keyword>. My budget is budget>. What should I do?,recommend_activity,I'm going to <location> <time>. I like <keyword>. My budget is <budget>. What should I do?
189,My budget for the year 2019 is budget>. What should I do?,recommend_activity,I'm going to <location> <time>. I like <keyword>. My budget is <budget>. What should I do?
190,"Would like to see this location> address, if possible.",recommend_activity,I would like to see <location>
191,Should I be able to see a location> in my map?,recommend_activity,I would like to see <location>
192,"I would like to see location to location>. I have a phone with me, and the number would be more than 80 if my phone had this.",recommend_activity,I would like to see <location>
193,What is the location where you want to see the information?,recommend_activity,I would like to see <location>
194,I'm looking for a duration> trip from location> to nearby location>. I m looking for a duration> trip from location> to nearby location> to make a loop. I'm looking for a short trip there and I will leave at around 10 pm.,recommend_activity,I'm looking for a <duration> trip from <location> to nearby <location>
195,I'm looking for a trip from location> to nearby location>. I'm looking for a duration> trip from location> to nearby location>.,recommend_activity,I'm looking for a <duration> trip from <location> to nearby <location>
196,"I'm looking for a duration> trip from location> to nearby location> with a few days at the end of each half, to work at a small supermarket.",recommend_activity,I'm looking for a <duration> trip from <location> to nearby <location>
197,I'm looking for a duration> trip from location> to nearby location> to location> to be left a day. I'm looking for a duration> trip.,recommend_activity,I'm looking for a <duration> trip from <location> to nearby <location>
198,"If I want a keyword> from location> before heading off on a day trip, looking for a duration> trip, which will have a few keywords' from location>.",recommend_activity,Looking for a <duration> trip to have some <keyword> from <location>
199,Looking for a duration> trip to have some keyword> from location> to visit new people.,recommend_activity,Looking for a <duration> trip to have some <keyword> from <location>
200,Looking for a duration> trip to have some keyword> from location>.,recommend_activity,Looking for a <duration> trip to have some <keyword> from <location>
201,"Looking for a trip to have some keyword> from location/hotel, about a length> I am looking for a duration> trip to have some keyword> from location/hotel> From where to get to travel I am looking for a term> from term> on a long trip.",recommend_activity,Looking for a <duration> trip to have some <keyword> from <location>
202,What are some good places to stay?,recommend_activity,Can you please show me a nice place in <location>?
203,Can you show me a nice place in location>?,recommend_activity,Can you please show me a nice place in <location>?
204,What's the best place on your location?,recommend_activity,Can you please show me a nice place in <location>?
205,Would you like to see a nice place in your hometown?,recommend_activity,Can you please show me a nice place in <location>?
206,I am traveling with my family on date and was looking for a great keyword> tour for my location> on location>. Am I going to travel with the whole family tomorrow?,recommend_activity,Hi: I am traveling with my family in <location> on <date> and was looking for a great <keyword> tour
207,What's your keyword tour you are looking for?,recommend_activity,Hi: I am traveling with my family in <location> on <date> and was looking for a great <keyword> tour
208,Hi my family and I are planning a wedding in location and was looking for a great wedding. I wish to make it easier.,recommend_activity,Hi: I am traveling with my family in <location> on <date> and was looking for a great <keyword> tour
209,"Hi, I am traveling with my family in location> on date>and was looking for a great keyword> tour. I'm really awading'. I'm eating>!",recommend_activity,Hi: I am traveling with my family in <location> on <date> and was looking for a great <keyword> tour
210,What's fun in the world?,"recommend_activity, recommend_poi",What's fun around here?
211,What is fun on Quora?,"recommend_activity, recommend_poi",What's fun around here?
212,What is fun around here?,"recommend_activity, recommend_poi",What's fun around here?
213,What's fun about here?,"recommend_activity, recommend_poi",What's fun around here?
214,"Show me the most adjective> sites on tourmega.com. For more info, see: Tourmega.com.","recommend_activity, recommend_poi",Show me the most <adjective> sites on tourmega
215,Show me the most adjective> sites on tourmega.,"recommend_activity, recommend_poi",Show me the most <adjective> sites on tourmega
216,Where are the most adjective> sites in tourmega?,"recommend_activity, recommend_poi",Show me the most <adjective> sites on tourmega
217,Show me adjective> sites on tourmega.com. I have just made a few posts here.,"recommend_activity, recommend_poi",Show me the most <adjective> sites on tourmega
218,And I want to go (country) and go by boat. I am willing to do it. I really want to be an adventurer and love to go. Where do I start?,"recommend_activity, recommend_poi",I want to go <country>
219,I want to go country>. But country> is the same country that I grew up in and my country is abroad. I just want to go there. I'm only going to go there for a week. No other choice I should make.,"recommend_activity, recommend_poi",I want to go <country>
220,I want to go to country>. I want to change my country. I want to go to Canada with my parents.,"recommend_activity, recommend_poi",I want to go <country>
221,I want to visit a country. How do I do that?,"recommend_activity, recommend_poi",I want to go <country>
222,"I want to book keyword> for date> in location> for number_of_people>, the Keyword> keyword> for date>. I want to book it in the Keyword> for date>.","recommend_activity, recommend_poi",I want to book the <keyword> for <date> in <location> for <number_of_people>
223,I want to book the keyword> for the date> in location> for the number_of_people>. I want to book the keyword> for date> I want to get that keyword> for this date> as a date.,"recommend_activity, recommend_poi",I want to book the <keyword> for <date> in <location> for <number_of_people>
224,"I want to book the keyword> for date> in location> for number of_people>.,> in 3 weeks from date>. How?","recommend_activity, recommend_poi",I want to book the <keyword> for <date> in <location> for <number_of_people>
225,I want to book keyword> for date> in location> for number_of_people>.,"recommend_activity, recommend_poi",I want to book the <keyword> for <date> in <location> for <number_of_people>
226,Which is the keyword for the keyword>? Can you help me to quote a quote?,"recommend_activity, recommend_poi",Can you please assist to quote for the following <keyword>
227,Can you please assist me to quote keyword> for the following keyword?,"recommend_activity, recommend_poi",Can you please assist to quote for the following <keyword>
228,Can you please assist to quote for the following keyword>?,"recommend_activity, recommend_poi",Can you please assist to quote for the following <keyword>
229,Which are the most recommended activities to do at the age of 18?,"recommend_activity, recommend_poi",Top recommended activity
230,What is the Top 10 sports you recommend and why?,"recommend_activity, recommend_poi",Top recommended activity
231,What are the five recommended activities for the young people in your life?,"recommend_activity, recommend_poi",Top recommended activity
232,What should be my activities (weekly) this year?,"recommend_activity, recommend_poi",Top recommended activity
233,Must do things in a location to be of service to someone that has lived and worked at the location.,"recommend_activity, recommend_poi",Must do things in <location>
234,What must I do in a location?,"recommend_activity, recommend_poi",Must do things in <location>
235,Must do things in a location with few people.,"recommend_activity, recommend_poi",Must do things in <location>
236,What a must do thing in a location?,"recommend_activity, recommend_poi",Must do things in <location>
237,Top locations for kids to play.,recommend_poi,Top locations for kids
238,Top locations for kids with boys?,recommend_poi,Top locations for kids
239,Top locations for kids?,recommend_poi,Top locations for kids
240,What are the best children's centers on the West Coast?,recommend_poi,Top locations for kids
241,Top places to see in a keyword> month?,recommend_poi,Top places to see in <keyword> (month)
242,"Top places to be seen in keyword> (month) (cookies, lists, etc.)",recommend_poi,Top places to see in <keyword> (month)
243,Top places to see in a month by keyword>,recommend_poi,Top places to see in <keyword> (month)
244,Top places to see in (month) 'keyword> (month),recommend_poi,Top places to see in <keyword> (month)
245,Show me the most popular and/or funny sites.,recommend_poi,Show me the most <adjective> sites
246,Which is the most adjective> site?,recommend_poi,Show me the most <adjective> sites
247,Do they have a list of the most adjective> sites on your site?,recommend_poi,Show me the most <adjective> sites
248,Show me the most adjective free sites.,recommend_poi,Show me the most <adjective> sites
249,Show me hidden gems. Tell me they are hidden and why.,recommend_poi,Show me hidden gems
250,Show me a hidden gem by name.,recommend_poi,Show me hidden gems
251,Show me hidden gems. I'm not a serious game of chess player.,recommend_poi,Show me hidden gems
252,Show me little gems. (Provel a message),recommend_poi,Show me hidden gems
253,Show me an escaped bedroom with some hidden secret locations.,recommend_poi,Show me hidden locations
254,"Send me the codes to hide hidden places (lobby towns) in a specific direction (i.e., hide me somewhere)?",recommend_poi,Show me hidden locations
255,Hide me a room. Tell me a hidden room. I want a room that is under the water.,recommend_poi,Show me hidden locations
256,Can someone show me secret locations in the world?,recommend_poi,Show me hidden locations
257,Locations where there are less people?,recommend_poi,Locations with less people
258,Locations with less people...?,recommend_poi,Locations with less people
259,Locations with less people. Locations with less people.,recommend_poi,Locations with less people
260,Cities with less people are better for deciding the right area to live in.,recommend_poi,Locations with less people
261,How can you show me a less crowded location if you visit a specific restaurant?,recommend_poi,Show me less crowded locations
262,Where are the most crowded and lesser crowded places in Singapore?,recommend_poi,Show me less crowded locations
263,Show me less crowded locations without being overcrowded.,recommend_poi,Show me less crowded locations
264,Show me less crowded locations. I don't see anyone who knows exactly what is going to happen. If I am in an apartment give me a list.,recommend_poi,Show me less crowded locations
265,I'm looking for festivals in Croatia.,recommend_poi,I'm looking for festivals
266,I'm looking for festivals to go and festivals in Spain.,recommend_poi,I'm looking for festivals
267,I'm looking for festivals for weddings. Thanks.,recommend_poi,I'm looking for festivals
268,I'm looking for festivals.,recommend_poi,I'm looking for festivals
269,Where is the keyword> festival?,recommend_poi,Where is <keyword> festival?
270,Where is this festival?,recommend_poi,Where is <keyword> festival?
271,Where and how can I get 'keyword' festival?,recommend_poi,Where is <keyword> festival?
272,Where is the festival?,recommend_poi,Where is <keyword> festival?
273,"Where can I find a dictionary with the search term ""food""?",recommend_poi,Where can I find <keyword> food?
274,Where can I find keyword> foods?,recommend_poi,Where can I find <keyword> food?
275,Where can I get keyword> food?,recommend_poi,Where can I find <keyword> food?
276,Where can I find keyword>food?,recommend_poi,Where can I find <keyword> food?
277,Show me best restaurants in Toronto?,recommend_poi,Show me best restaurants
278,What are some best restaurants for you to visit?,recommend_poi,Show me best restaurants
279,What is the best restaurant to visit in NJ?,recommend_poi,Show me best restaurants
280,Show me the best restaurant and prices.,recommend_poi,Show me best restaurants
281,Show me best restaurants for word> food. Show me best restaurants for keyword> food.,recommend_poi,Show me best restaurants for <keyword> food
282,"What are the best restaurant names for ""restaurant title""?",recommend_poi,Show me best restaurants for <keyword> food
283,What are some of the best restaurants for keyword> food?,recommend_poi,Show me best restaurants for <keyword> food
284,Show me my best restaurants for food keyword>. Show me the best.,recommend_poi,Show me best restaurants for <keyword> food
285,What are the best keyword> foods?,recommend_poi,Top recommended <keyword> food
286,Top recommended keyword> food keyword>,recommend_poi,Top recommended <keyword> food
287,Food recommendation's key word for the day keyword>.,recommend_poi,Top recommended <keyword> food
288,Top recommended keyword>food.,recommend_poi,Top recommended <keyword> food
289,Which restaurant is worth visiting?,recommend_poi,Top recommended <keyword> restaurant
290,Top recommended keyword> restaurant?,recommend_poi,Top recommended <keyword> restaurant
291,Top recommended restaurants?,recommend_poi,Top recommended <keyword> restaurant
292,"What word ""Top recommended"" restaurant?",recommend_poi,Top recommended <keyword> restaurant
293,Top rated keyword> food brands.,recommend_poi,Top rated <keyword> food
294,"The best rated food, keyword>.",recommend_poi,Top rated <keyword> food
295,What are the best rated keyword> food brands?,recommend_poi,Top rated <keyword> food
296,Top rated food menukeyword>..,recommend_poi,Top rated <keyword> food
297,"Top rated keyword> restaurant, hotel - Top 3 | 2019 | 2019 | 2019 | 2019 | 2019 | 2017 | 2017 | 2017 | 2017 | 2016 | New York | Restaurant | 2018 | 2017 | 2018 | 2017 | 2017 |?",recommend_poi,Top rated <keyword> restaurant
298,"Top rated, keyword> restaurant in the UK.",recommend_poi,Top rated <keyword> restaurant
299,Restaurants: What's your favorite key word?,recommend_poi,Top rated <keyword> restaurant
300,Which is the best restaurant in the world with the most rated name in Google?,recommend_poi,Top rated <keyword> restaurant
301,"I want keyword> food. I want a whole lot of food, but I can't stand it. I want water and I need food. I want to keep it that way so I can plan my meal.",recommend_poi,I want <keyword> food
302,"I want keyword> food for breakfast, I want a cold cow... I want it hot., I need food. I want keyword> food. I eat everything myself and I want to eat.",recommend_poi,I want <keyword> food
303,What is the key word I like to know: food?,recommend_poi,I want <keyword> food
304,"I want, food when it can be keyword>food, or my name.",recommend_poi,I want <keyword> food
305,I would like to make a reservation please.,reservation_inquiry,I WOULD like to make a reservation please
306,How can I make a reservation on hotel?,reservation_inquiry,I WOULD like to make a reservation please
307,I want to make a reservation. Can you give me an email?,reservation_inquiry,I WOULD like to make a reservation please
308,I want to request reservation online please.,reservation_inquiry,I WOULD like to make a reservation please
309,What is the best way to make reservation?,reservation_inquiry,How do i make a reservation?
310,How do I make reservation?,reservation_inquiry,How do i make a reservation?
311,I have questions how do I make a reservation online?,reservation_inquiry,How do i make a reservation?
